state,district,financial_year,households_demanded,households_offered,households_availed,person_days_lakhs,expenditure_lakhs,avg_wage_rate,works_completed
Maharashtra,Jalna,2019-20,26962.0,24900.0,23244.0,9.51,2658.77,213,278.0
Maharashtra,Jalna,2020-21,34413.0,,29811.0,12.433,4207.95,238,277.0
Maharashtra,Jalna,2021-22,32184.0,30501.0,28701.0,11.064,3948.65,256,305.0
Maharashtra,Jalna,2022-23,32275.0,30640.0,28382.0,10.68,3671.2,273,336.0
Maharashtra,Jalna,2023-24,30919.0,28649.0,27505.0,10.771,4144.82,289,318.0
Maharashtra,Kolhapur,2014-15,,15105.0,,5.371,1114.38,162,179.0
Maharashtra,Kolhapur,2015-16,14797.0,14372.0,13783.0,5.126,1069.31,174,137.0
Maharashtra,Kolhapur,2016-17,18291.0,17830.0,16604.0,6.189,1304.71,183,
Maharashtra,Kolhapur,2017-18,16589.0,15377.0,13814.0,5.58,1365.07,194,102.0
Maharashtra,Kolhapur,2018-19,20113.0,19516.0,18733.0,7.027,1713.9,203,164.0
Maharashtra,Kolhapur,2019-20,23207.0,22015.0,20565.0,7.959,2193.3,213,
Maharashtra,Kolhapur,2020-21,27369.0,25934.0,,9.562,2644.26,238,283.0
Maharashtra,Kolhapur,2021-22,19386.0,18165.0,16146.0,6.431,2079.06,256,212.0
Maharashtra,Kolhapur,2022-23,18274.0,17049.0,15804.0,6.489,2150.78,273,145.0
Maharashtra,Kolhapur,2023-24,,19474.0,18280.0,6.827,2404.49,289,
Maharashtra,Latur,2014-15,,24426.0,23422.0,8.832,2128.59,162,306.0
Maharashtra,Latur,2015-16,26016.0,24065.0,21475.0,8.632,2057.54,174,236.0
Maharashtra,Latur,2016-17,23564.0,22696.0,21080.0,7.892,1938.94,183,176.0
Maharashtra,Latur,2017-18,28870.0,27741.0,26247.0,9.664,2565.29,194,234.0
Maharashtra,Latur,2018-19,31657.0,30835.0,27708.0,10.684,3243.46,203,214.0
Maharashtra,Latur,2019-20,29981.0,28137.0,26904.0,10.748,3079.63,213,269.0
Maharashtra,Latur,2020-21,44300.0,42958.0,41094.0,15.666,5526.97,238,372.0
Maharashtra,Latur,2021-22,36608.0,34306.0,30687.0,12.942,4954.06,256,428.0
Maharashtra,Latur,2022-23,31842.0,30388.0,28190.0,10.982,4244.42,273,278.0
Maharashtra,Latur,2023-24,31573.0,31151.0,28764.0,11.292,4887.75,289,234.0
Maharashtra,Mumbai City,2014-15,997.0,934.0,824.0,0.354,61.7,162,11.0
Maharashtra,Mumbai City,2015-16,1117.0,1063.0,973.0,0.382,75.94,174,8.0
Maharashtra,Mumbai City,2016-17,871.0,846.0,780.0,0.293,57.87,183,
Maharashtra,Mumbai City,2017-18,969.0,914.0,869.0,0.349,78.28,194,10.0
Maharashtra,Mumbai City,2018-19,1159.0,1141.0,1049.0,0.411,96.76,203,7.0
Maharashtra,Mumbai City,2019-20,1077.0,995.0,916.0,0.38,87.17,213,7.0
Maharashtra,Mumbai City,2020-21,1650.0,,1475.0,0.576,160.63,238,14.0
Maharashtra,Mumbai City,2021-22,1361.0,1297.0,1252.0,0.466,132.62,256,
Maharashtra,Mumbai City,2022-23,,1274.0,1172.0,0.463,151.42,273,14.0
Maharashtra,Mumbai City,2023-24,1307.0,1262.0,1144.0,0.45,157.14,289,10.0
Maharashtra,Mumbai Suburban,2014-15,,3065.0,2895.0,1.114,212.56,162,37.0
Maharashtra,Mumbai Suburban,2015-16,3350.0,3162.0,2898.0,1.142,231.87,174,23.0
Maharashtra,Mumbai Suburban,2016-17,3321.0,3207.0,3013.0,1.13,226.98,183,26.0
Maharashtra,Mumbai Suburban,2017-18,3725.0,3651.0,3293.0,1.255,293.19,194,25.0
Maharashtra,Mumbai Suburban,2018-19,,3096.0,2912.0,1.177,297.24,203,25.0
Maharashtra,Mumbai Suburban,2019-20,3874.0,3822.0,3573.0,1.314,318.07,213,37.0
Maharashtra,Mumbai Suburban,2020-21,5639.0,5345.0,5033.0,1.867,487.96,238,46.0
Maharashtra,Mumbai Suburban,2021-22,4209.0,4003.0,3859.0,1.44,455.14,256,33.0
Maharashtra,Mumbai Suburban,2022-23,,3931.0,3577.0,1.41,436.64,273,47.0
Maharashtra,Mumbai Suburban,2023-24,,3968.0,,1.345,474.32,289,41.0
Maharashtra,Nagpur,2014-15,20091.0,18821.0,17654.0,6.968,1460.78,162,155.0
Maharashtra,Nagpur,2015-16,18650.0,17443.0,16630.0,6.496,1583.18,174,135.0
Maharashtra,Nagpur,2016-17,18286.0,17843.0,17049.0,6.413,1485.5,183,199.0
Maharashtra,Nagpur,2017-18,17570.0,17392.0,15606.0,6.131,1509.09,194,
Maharashtra,Nagpur,2018-19,25202.0,24916.0,22082.0,8.377,2152.34,203,263.0
Maharashtra,Nagpur,2019-20,22116.0,21373.0,19023.0,7.382,2194.05,213,155.0
Maharashtra,Nagpur,2020-21,28949.0,27647.0,26036.0,9.953,3226.06,238,347.0
Maharashtra,Nagpur,2021-22,25431.0,,23899.0,9.121,3034.14,256,
Maharashtra,Nagpur,2022-23,22299.0,21564.0,19662.0,8.031,3040.93,273,258.0
Maharashtra,Nagpur,2023-24,20510.0,19330.0,18313.0,7.139,2867.17,289,188.0
Maharashtra,Nanded,2014-15,,23435.0,20825.0,8.524,1799.89,162,230.0
Maharashtra,Nanded,2015-16,23729.0,21831.0,20068.0,8.545,2114.99,174,
Maharashtra,Nanded,2016-17,27433.0,25560.0,22830.0,9.207,2424.52,183,294.0
Maharashtra,Nanded,2017-18,28332.0,26249.0,24031.0,9.512,2611.88,194,212.0
Maharashtra,Nanded,2018-19,29614.0,28800.0,26548.0,10.227,2791.24,203,222.0
Maharashtra,Nanded,2019-20,30505.0,28318.0,25138.0,10.303,2869.92,213,216.0
Maharashtra,Nanded,2020-21,45477.0,44991.0,40147.0,15.857,5280.8,238,406.0
Maharashtra,Nanded,2021-22,36923.0,36490.0,34977.0,12.335,4139.28,256,268.0
Maharashtra,Nanded,2022-23,31046.0,30159.0,28077.0,10.935,4118.42,273,350.0
Maharashtra,Nanded,2023-24,34364.0,,29643.0,12.405,4901.67,289,278.0
Maharashtra,Nandurbar,2014-15,13585.0,13284.0,12360.0,4.586,1029.51,162,103.0
Maharashtra,Nandurbar,2015-16,15290.0,14670.0,13802.0,5.373,1236.67,174,
Maharashtra,Nandurbar,2016-17,14458.0,13955.0,12496.0,4.822,1310.73,183,
Maharashtra,Nandurbar,2017-18,17750.0,16403.0,14752.0,5.899,1631.08,194,125.0
Maharashtra,Nandurbar,2018-19,15292.0,14174.0,,5.424,1533.98,203,113.0
Maharashtra,Nandurbar,2019-20,18075.0,17034.0,15542.0,6.046,1700.97,213,145.0
Maharashtra,Nandurbar,2020-21,25101.0,23453.0,22513.0,8.585,3050.95,238,169.0
Maharashtra,Nandurbar,2021-22,17567.0,16923.0,15078.0,6.289,2379.31,256,
Maharashtra,Nandurbar,2022-23,20184.0,19977.0,17659.0,6.956,2637.8,273,163.0
Maharashtra,Nandurbar,2023-24,17522.0,17109.0,15318.0,6.011,2610.75,289,159.0
Maharashtra,Nashik,2014-15,17411.0,16730.0,14915.0,6.072,1198.69,162,129.0
Maharashtra,Nashik,2015-16,21189.0,20367.0,18580.0,7.084,1521.1,174,
Maharashtra,Nashik,2016-17,,19444.0,17795.0,6.563,1465.42,183,168.0
Maharashtra,Nashik,2017-18,,20793.0,19335.0,7.461,1763.92,194,178.0
Maharashtra,Nashik,2018-19,19741.0,18391.0,17380.0,7.081,1768.87,203,153.0
Maharashtra,Nashik,2019-20,21390.0,20064.0,19149.0,7.222,2037.84,213,203.0
Maharashtra,Nashik,2020-21,,29364.0,26877.0,10.723,3379.33,238,298.0
Maharashtra,Nashik,2021-22,23667.0,22900.0,21311.0,8.534,2549.84,256,261.0
Maharashtra,Nashik,2022-23,,,16075.0,6.623,2350.91,273,156.0
Maharashtra,Nashik,2023-24,21905.0,21019.0,19008.0,7.656,2634.15,289,238.0
Maharashtra,Osmanabad,2014-15,22477.0,22197.0,21458.0,7.739,1907.56,162,163.0
Maharashtra,Osmanabad,2015-16,26886.0,25439.0,22617.0,8.979,2362.91,174,235.0
Maharashtra,Osmanabad,2016-17,,28125.0,25825.0,9.671,2518.22,183,242.0
Maharashtra,Osmanabad,2017-18,27717.0,27124.0,24563.0,9.325,2549.9,194,306.0
Maharashtra,Osmanabad,2018-19,30590.0,29135.0,27448.0,10.548,2957.01,203,309.0
Maharashtra,Osmanabad,2019-20,32822.0,30288.0,27912.0,11.218,3473.58,213,242.0
Maharashtra,Osmanabad,2020-21,43261.0,40842.0,36296.0,15.381,5637.41,238,382.0
Maharashtra,Osmanabad,2021-22,39889.0,36923.0,34657.0,13.21,5156.05,256,380.0
Maharashtra,Osmanabad,2022-23,31966.0,29489.0,27369.0,11.113,4700.53,273,381.0
Maharashtra,Osmanabad,2023-24,34857.0,32804.0,31533.0,11.82,4635.57,289,400.0
Maharashtra,Palghar,2014-15,12961.0,11978.0,11440.0,4.639,953.69,162,125.0
Maharashtra,Palghar,2015-16,15169.0,14377.0,13227.0,5.208,1134.42,174,179.0
Maharashtra,Palghar,2016-17,16464.0,15476.0,14962.0,5.853,1347.03,183,191.0
Maharashtra,Palghar,2017-18,18136.0,,17131.0,6.083,1671.11,194,122.0
Maharashtra,Palghar,2018-19,17885.0,17134.0,16464.0,6.153,1775.45,203,184.0
Maharashtra,Palghar,2019-20,14519.0,13750.0,12547.0,5.036,1408.4,213,98.0
Maharashtra,Palghar,2020-21,23860.0,22696.0,21873.0,8.038,2590.89,238,149.0
Maharashtra,Palghar,2021-22,20941.0,20696.0,18619.0,7.433,2542.71,256,252.0
Maharashtra,Palghar,2022-23,16807.0,15520.0,13872.0,5.949,2032.94,273,126.0
Maharashtra,Palghar,2023-24,20407.0,19541.0,18297.0,6.795,2509.09,289,214.0
Maharashtra,Parbhani,2014-15,27917.0,27537.0,25094.0,9.335,1980.06,162,
Maharashtra,Parbhani,2015-16,27547.0,26072.0,24751.0,9.146,2222.76,174,193.0
Maharashtra,Parbhani,2016-17,28168.0,,,9.597,2346.63,183,290.0
Maharashtra,Parbhani,2017-18,28579.0,26668.0,23725.0,9.496,2557.79,194,254.0
Maharashtra,Parbhani,2018-19,27181.0,26899.0,24848.0,9.445,2654.6,203,237.0
Maharashtra,Parbhani,2019-20,29854.0,27942.0,26192.0,10.227,2835.17,213,354.0
Maharashtra,Parbhani,2020-21,45698.0,43563.0,,15.237,5263.96,238,442.0
Maharashtra,Parbhani,2021-22,,30750.0,29429.0,11.085,4013.51,256,265.0
Maharashtra,Parbhani,2022-23,31491.0,31089.0,28396.0,10.711,4018.8,273,340.0
Maharashtra,Parbhani,2023-24,30424.0,28969.0,26054.0,10.289,4271.63,289,208.0
Maharashtra,Pune,2014-15,11276.0,10963.0,10530.0,3.851,727.74,162,76.0
Maharashtra,Pune,2015-16,9517.0,8887.0,8053.0,3.394,714.53,174,
Maharashtra,Pune,2016-17,11660.0,10870.0,,3.953,868.98,183,81.0
Maharashtra,Pune,2017-18,11490.0,10673.0,9920.0,4.04,971.38,194,77.0
Maharashtra,Pune,2018-19,11506.0,11187.0,10665.0,3.875,940.98,203,123.0
Maharashtra,Pune,2019-20,,11237.0,10361.0,4.217,1065.89,213,93.0
Maharashtra,Pune,2020-21,17278.0,16225.0,14469.0,6.072,1726.1,238,140.0
Maharashtra,Pune,2021-22,12248.0,11922.0,11489.0,4.335,1336.76,256,125.0
Maharashtra,Pune,2022-23,12087.0,11639.0,11174.0,3.994,1388.97,273,125.0
Maharashtra,Pune,2023-24,13584.0,12512.0,,4.879,1697.33,289,121.0
Maharashtra,Raigad,2014-15,12123.0,,10555.0,4.168,832.43,162,131.0
Maharashtra,Raigad,2015-16,11524.0,11306.0,10854.0,3.81,827.78,174,94.0
Maharashtra,Raigad,2016-17,12811.0,12628.0,11504.0,4.384,1036.66,183,100.0
Maharashtra,Raigad,2017-18,13189.0,12187.0,11765.0,4.686,1149.71,194,150.0
Maharashtra,Raigad,2018-19,12911.0,12036.0,11471.0,4.589,1154.94,203,153.0
Maharashtra,Raigad,2019-20,14970.0,14625.0,,5.089,1346.24,213,175.0
Maharashtra,Raigad,2020-21,20246.0,19239.0,,7.039,2230.71,238,219.0
Maharashtra,Raigad,2021-22,17166.0,16048.0,14128.0,5.755,1907.57,256,200.0
Maharashtra,Raigad,2022-23,15238.0,14572.0,13885.0,5.408,1783.83,273,133.0
Maharashtra,Raigad,2023-24,13148.0,12269.0,11012.0,4.596,1681.36,289,120.0
Maharashtra,Ratnagiri,2014-15,12354.0,11962.0,11584.0,4.214,853.39,162,104.0
Maharashtra,Ratnagiri,2015-16,14231.0,,13099.0,5.033,1046.05,174,130.0
Maharashtra,Ratnagiri,2016-17,12812.0,12203.0,11056.0,4.556,1099.22,183,152.0
Maharashtra,Ratnagiri,2017-18,14405.0,13529.0,12215.0,5.085,1184.83,194,173.0
Maharashtra,Ratnagiri,2018-19,16100.0,15766.0,14440.0,5.705,1370.53,203,118.0
Maharashtra,Ratnagiri,2019-20,,16079.0,15477.0,5.794,1638.89,213,187.0
Maharashtra,Ratnagiri,2020-21,24607.0,24132.0,21900.0,8.863,2714.53,238,274.0
Maharashtra,Ratnagiri,2021-22,19569.0,19289.0,,6.592,2118.61,256,216.0
Maharashtra,Ratnagiri,2022-23,17647.0,17248.0,16341.0,5.964,1999.66,273,119.0
Maharashtra,Ratnagiri,2023-24,15402.0,,13719.0,5.32,1917.45,289,
Maharashtra,Sangli,2014-15,15071.0,14642.0,13778.0,5.329,1082.63,162,
Maharashtra,Sangli,2015-16,18123.0,17588.0,16930.0,6.009,1395.57,174,144.0
Maharashtra,Sangli,2016-17,17145.0,,15065.0,5.937,1341.43,183,195.0
Maharashtra,Sangli,2017-18,18704.0,,17144.0,6.297,1608.98,194,145.0
Maharashtra,Sangli,2018-19,18241.0,17555.0,,6.397,1698.01,203,117.0
Maharashtra,Sangli,2019-20,18021.0,17290.0,15986.0,6.108,1525.0,213,146.0
Maharashtra,Sangli,2020-21,25135.0,23821.0,22988.0,9.07,2528.62,238,278.0
Maharashtra,Sangli,2021-22,23077.0,22436.0,,7.715,2370.69,256,208.0
Maharashtra,Sangli,2022-23,19559.0,18310.0,16157.0,6.917,2511.9,273,207.0
Maharashtra,Sangli,2023-24,20977.0,20079.0,18529.0,7.089,2542.98,289,204.0
Maharashtra,Satara,2014-15,18564.0,18133.0,16527.0,6.195,1252.57,162,126.0
Maharashtra,Satara,2015-16,17062.0,,15284.0,5.686,1164.89,174,122.0
Maharashtra,Satara,2016-17,18765.0,17357.0,16820.0,6.715,1426.55,183,135.0
Maharashtra,Satara,2017-18,17596.0,17142.0,,6.035,1522.68,194,174.0
Maharashtra,Satara,2018-19,19763.0,18800.0,17129.0,6.698,1671.02,203,139.0
Maharashtra,Satara,2019-20,19058.0,17738.0,16002.0,6.73,1854.57,213,158.0
Maharashtra,Satara,2020-21,30851.0,28550.0,27089.0,10.323,2951.58,238,223.0
Maharashtra,Satara,2021-22,23172.0,21796.0,20296.0,7.718,2367.38,256,211.0
