state,district,financial_year,region,state_category,person_days_lakhs,expenditure_lakhs,avg_wage_rate,households_demanded,households_offered,households_availed,works_completed,rainfall_mm,crop_season_index,rural_population_lakhs,poverty_rate_pct,pmkisan_beneficiaries,pmkisan_amount_lakhs,pmay_houses_sanctioned,pmay_houses_completed,pmay_expenditure_lakhs,budget_allocated_lakhs
Rajasthan,Rajasthan_District_2,2014-15,Region_2,high,14.88,2279.46,162,1488.0,1347.0,1288.0,17.0,859.59,0.34,27.31,28.18,550077.0,33018.81,2378.0,1189.0,1506.03,2434.41
Rajasthan,Rajasthan_District_2,2015-16,Region_2,high,13.79,2642.1,176,1379.0,1230.0,1128.0,14.0,934.47,0.3,27.31,27.88,744922.0,45538.78,4831.0,,3389.1,2971.27
Rajasthan,Rajasthan_District_2,2016-17,Region_2,high,14.05,2430.52,190,1405.0,1245.0,1205.0,12.0,1012.05,0.76,27.31,27.58,625432.0,37510.09,4935.0,,3768.22,2797.09
Rajasthan,Rajasthan_District_2,2017-18,Region_2,high,13.6,2628.65,204,1359.0,1283.0,1151.0,14.0,1492.65,0.19,27.31,27.28,892363.0,53618.4,906.0,588.0,852.95,2886.57
Rajasthan,Rajasthan_District_2,2018-19,Region_2,high,14.58,3290.57,218,1457.0,1241.0,1137.0,12.0,1019.93,0.14,27.31,26.98,898724.0,53221.07,3609.0,2526.0,3324.27,3917.45
Rajasthan,Rajasthan_District_2,2019-20,Region_2,high,16.32,3666.34,232,1632.0,1411.0,1368.0,18.0,899.3,0.24,27.31,26.68,687187.0,41495.07,4177.0,3132.0,4280.07,4140.93
Rajasthan,Rajasthan_District_2,2020-21,Region_2,high,21.89,5212.55,246,2189.0,1960.0,1850.0,25.0,1051.98,0.9,27.31,26.38,1030876.0,62545.0,3389.0,2711.0,3321.63,5599.55
Rajasthan,Rajasthan_District_2,2021-22,Region_2,high,15.36,4078.67,260,1536.0,1307.0,1128.0,16.0,1156.36,0.22,27.31,26.08,549044.0,32495.68,2969.0,2523.0,3551.3,4681.47
Rajasthan,Rajasthan_District_2,2022-23,Region_2,high,17.18,4543.7,274,1718.0,1627.0,1520.0,19.0,805.06,0.24,27.31,25.78,905519.0,54479.59,921.0,828.0,1084.94,4951.64
Rajasthan,Rajasthan_District_2,2023-24,Region_2,high,15.88,5006.43,288,1588.0,1430.0,1381.0,16.0,1157.42,0.72,27.31,25.48,980468.0,58834.29,3096.0,2941.0,3963.75,5403.38
Rajasthan,Rajasthan_District_3,2014-15,Region_3,high,15.1,2673.9,162,1509.0,1471.0,1413.0,13.0,975.17,0.94,5.61,30.84,155349.0,9451.86,1926.0,963.0,1204.57,3030.92
Rajasthan,Rajasthan_District_3,2015-16,Region_3,high,15.39,2814.8,176,,1421.0,1225.0,16.0,1148.07,0.7,5.61,30.54,223200.0,13199.2,2832.0,1557.0,2278.22,3268.31
Rajasthan,Rajasthan_District_3,2016-17,Region_3,high,17.25,3142.38,190,1725.0,1647.0,1573.0,19.0,808.2,0.7,5.61,30.24,214585.0,12880.94,2756.0,,2379.47,3605.86
Rajasthan,Rajasthan_District_3,2017-18,Region_3,high,15.18,3279.16,204,1517.0,1464.0,1308.0,14.0,1276.4,0.29,5.61,29.94,122698.0,7384.93,661.0,429.0,574.72,3710.03
Rajasthan,Rajasthan_District_3,2018-19,Region_3,high,16.27,3218.17,218,1626.0,,1394.0,13.0,917.09,0.05,5.61,29.64,170731.0,10354.49,1471.0,1029.0,1427.09,3420.28
Rajasthan,Rajasthan_District_3,2019-20,Region_3,high,16.56,3865.86,232,1655.0,1523.0,1420.0,18.0,1016.04,0.44,5.61,29.34,221607.0,13305.09,1953.0,1464.0,2106.05,4216.2
Rajasthan,Rajasthan_District_3,2020-21,Region_3,high,26.88,6179.76,246,,2338.0,2063.0,,845.64,0.55,5.61,29.04,192305.0,11612.24,1759.0,1407.0,2091.45,7172.75
Rajasthan,Rajasthan_District_3,2021-22,Region_3,high,16.28,4328.7,260,1628.0,,1298.0,15.0,1332.26,0.86,5.61,28.74,197156.0,11599.58,,868.0,1053.58,4571.58
Rajasthan,Rajasthan_District_3,2022-23,Region_3,high,17.43,4392.42,274,1743.0,1592.0,1451.0,15.0,952.52,0.37,5.61,28.44,,9609.85,3271.0,2943.0,4092.32,4641.89
Rajasthan,Rajasthan_District_3,2023-24,Region_3,high,16.84,4971.19,288,1683.0,1540.0,1480.0,17.0,1374.4,0.94,5.61,28.14,130432.0,7691.49,3390.0,3220.0,3889.61,5656.55
Rajasthan,Rajasthan_District_4,2014-15,Region_4,high,18.8,3314.65,162,1880.0,1692.0,1649.0,21.0,1426.61,0.68,14.7,30.78,351664.0,20736.38,,476.0,573.8,3527.34
Rajasthan,Rajasthan_District_4,2015-16,Region_4,high,22.19,3570.86,176,,1978.0,1898.0,17.0,609.58,0.88,14.7,30.48,533607.0,31737.05,1031.0,567.0,798.91,4086.29
Rajasthan,Rajasthan_District_4,2016-17,Region_4,high,20.56,3735.88,190,2055.0,1794.0,1699.0,23.0,1162.57,0.93,14.7,30.18,585377.0,34999.86,2174.0,1304.0,1868.53,4113.65
Rajasthan,Rajasthan_District_4,2017-18,Region_4,high,20.94,4578.46,204,,1896.0,1796.0,23.0,1125.93,0.9,14.7,29.88,,19778.14,2773.0,1802.0,2609.18,5027.18
Rajasthan,Rajasthan_District_4,2018-19,Region_4,high,21.33,5067.88,218,2132.0,1971.0,1837.0,20.0,1064.83,0.79,14.7,29.58,380313.0,22662.39,3526.0,2468.0,3518.66,5923.02
Rajasthan,Rajasthan_District_4,2019-20,Region_4,high,21.71,4624.48,232,2170.0,1983.0,1700.0,22.0,973.97,0.76,14.7,29.28,423932.0,25830.38,2079.0,1559.0,1925.55,4954.89
Rajasthan,Rajasthan_District_4,2020-21,Region_4,high,35.23,7946.54,246,3523.0,3315.0,2849.0,39.0,835.56,0.37,14.7,28.98,501780.0,29602.63,881.0,704.0,1053.18,8789.99
Rajasthan,Rajasthan_District_4,2021-22,Region_4,high,22.47,6208.19,260,2247.0,2186.0,2138.0,24.0,1048.74,0.91,14.7,28.68,404737.0,23879.65,,3397.0,4645.47,6913.64
Rajasthan,Rajasthan_District_4,2022-23,Region_4,high,22.85,5649.79,274,2285.0,2081.0,1784.0,19.0,996.2,0.37,14.7,28.38,328647.0,19836.51,3857.0,3471.0,4772.66,6747.69
Rajasthan,Rajasthan_District_4,2023-24,Region_4,high,25.56,7045.05,288,,2460.0,2162.0,30.0,799.49,0.99,14.7,28.08,,18195.21,694.0,659.0,966.98,7954.95
Rajasthan,Rajasthan_District_5,2014-15,Region_1,high,11.38,1915.66,162,1137.0,1033.0,,11.0,1455.15,0.46,18.85,38.93,716598.0,42214.12,1764.0,882.0,1309.88,2267.26
Rajasthan,Rajasthan_District_5,2015-16,Region_1,high,12.21,2200.81,176,1221.0,1081.0,945.0,12.0,1081.25,0.7,18.85,38.63,510115.0,30709.32,849.0,466.0,695.42,2636.42
Rajasthan,Rajasthan_District_5,2016-17,Region_1,high,13.69,2763.96,190,1368.0,1284.0,1118.0,,617.46,0.93,18.85,38.33,686963.0,41959.37,,2259.0,3126.51,3075.56
Rajasthan,Rajasthan_District_5,2017-18,Region_1,high,12.68,2775.22,204,1267.0,1084.0,925.0,,1072.5,0.97,18.85,38.03,682446.0,41744.86,1176.0,764.0,1052.97,3072.54
Rajasthan,Rajasthan_District_5,2018-19,Region_1,high,12.91,2796.31,218,1290.0,1166.0,1032.0,10.0,1055.13,0.77,18.85,37.73,702864.0,42699.66,4998.0,3498.0,5243.47,3169.1
Rajasthan,Rajasthan_District_5,2019-20,Region_1,high,13.14,3319.56,232,1313.0,1261.0,1112.0,12.0,1055.74,0.62,18.85,37.43,425610.0,26000.4,3227.0,2420.0,3069.99,3820.0
Rajasthan,Rajasthan_District_5,2020-21,Region_1,high,21.33,5426.44,246,2132.0,1956.0,,21.0,834.42,0.13,18.85,37.13,698137.0,41975.19,3024.0,2419.0,3538.99,6026.19
Rajasthan,Rajasthan_District_5,2021-22,Region_1,high,13.6,3203.29,260,1360.0,1289.0,1199.0,14.0,939.23,0.39,18.85,36.83,,27032.94,565.0,480.0,626.48,3646.9
Rajasthan,Rajasthan_District_5,2022-23,Region_1,high,13.83,3675.26,274,1383.0,1267.0,1206.0,13.0,1177.21,0.49,18.85,36.53,,37216.2,4772.0,4294.0,5342.26,4369.84
Rajasthan,Rajasthan_District_5,2023-24,Region_1,high,14.06,3854.54,288,1406.0,1279.0,1250.0,14.0,972.58,0.13,18.85,36.23,500842.0,30210.87,1580.0,1501.0,1835.36,4121.78
Rajasthan,Rajasthan_District_6,2014-15,Region_2,high,14.34,2508.2,162,1434.0,1307.0,1224.0,12.0,897.23,0.09,8.47,30.72,201989.0,11896.77,1260.0,630.0,808.65,2700.21
Rajasthan,Rajasthan_District_6,2015-16,Region_2,high,14.62,2378.38,176,1462.0,1330.0,1166.0,13.0,788.16,0.08,8.47,30.42,254699.0,15398.32,676.0,371.0,534.17,2721.31
Rajasthan,Rajasthan_District_6,2016-17,Region_2,high,13.55,2731.48,190,1354.0,1282.0,1120.0,11.0,977.53,0.75,8.47,30.12,232176.0,13921.94,3282.0,1969.0,2580.72,3057.57
Rajasthan,Rajasthan_District_6,2017-18,Region_2,high,13.8,2554.21,204,1379.0,1217.0,1147.0,15.0,955.81,0.24,8.47,29.82,256098.0,15385.62,982.0,638.0,851.23,2885.99
Rajasthan,Rajasthan_District_6,2018-19,Region_2,high,15.46,3046.17,218,1545.0,1377.0,1208.0,14.0,848.73,0.5,8.47,29.52,189702.0,11559.92,3171.0,,3114.88,3559.08
Rajasthan,Rajasthan_District_6,2019-20,Region_2,high,15.73,3348.77,232,,1446.0,1339.0,17.0,715.55,0.57,8.47,29.22,242542.0,14335.73,1776.0,1332.0,1743.49,3840.66
Rajasthan,Rajasthan_District_6,2020-21,Region_2,high,23.22,5256.35,246,2321.0,2018.0,1779.0,20.0,720.29,0.52,8.47,28.92,201020.0,11957.52,1280.0,1024.0,1504.29,5582.43
Rajasthan,Rajasthan_District_6,2021-22,Region_2,high,14.81,3780.88,260,1480.0,1447.0,1251.0,14.0,1112.59,0.67,8.47,28.62,333655.0,20311.99,4176.0,,4533.39,4066.84
Rajasthan,Rajasthan_District_6,2022-23,Region_2,high,15.06,4185.11,274,1505.0,1334.0,1267.0,,1019.87,0.61,8.47,28.32,224249.0,13414.81,,2505.0,3188.17,4466.45
Rajasthan,Rajasthan_District_6,2023-24,Region_2,high,15.31,4222.71,288,1530.0,1416.0,1232.0,15.0,1150.28,0.99,8.47,28.02,,15299.18,2014.0,1913.0,2372.74,4473.99
Rajasthan,Rajasthan_District_7,2014-15,Region_3,high,14.7,2426.26,162,1469.0,1338.0,1208.0,13.0,1221.27,0.94,25.25,21.07,974291.0,59230.55,4842.0,2421.0,2995.48,2813.56
Rajasthan,Rajasthan_District_7,2015-16,Region_3,high,15.77,2598.5,176,1576.0,1353.0,,16.0,1154.33,0.16,25.25,20.77,930007.0,54996.39,4078.0,2242.0,2826.01,2792.21
Rajasthan,Rajasthan_District_7,2016-17,Region_3,high,16.07,3067.29,190,1606.0,,1388.0,15.0,1108.7,0.75,25.25,20.47,917268.0,54902.09,2196.0,1317.0,1763.2,3359.32
Rajasthan,Rajasthan_District_7,2017-18,Region_3,high,15.55,3174.06,204,1555.0,1368.0,1322.0,14.0,1206.98,0.63,25.25,20.17,,47524.15,3309.0,2150.0,2655.4,3780.22
Rajasthan,Rajasthan_District_7,2018-19,Region_3,high,18.34,4232.12,218,1833.0,1705.0,,21.0,825.04,0.03,25.25,19.87,903129.0,53432.74,1902.0,1331.0,1696.42,4915.99
Rajasthan,Rajasthan_District_7,2019-20,Region_3,high,16.97,3991.42,232,1696.0,1609.0,1551.0,15.0,919.93,0.8,25.25,19.57,919620.0,54317.83,4309.0,3231.0,4000.77,4428.85
Rajasthan,Rajasthan_District_7,2020-21,Region_3,high,25.04,6432.45,246,2503.0,2361.0,2203.0,26.0,914.52,0.58,25.25,19.27,778978.0,46274.66,,1644.0,2062.36,7630.6
Rajasthan,Rajasthan_District_7,2021-22,Region_3,high,19.32,4923.67,260,1932.0,1758.0,1710.0,16.0,889.47,0.93,25.25,18.97,800946.0,48068.08,,2763.0,3330.61,5813.96
Rajasthan,Rajasthan_District_7,2022-23,Region_3,high,16.97,5042.28,274,1696.0,1597.0,1389.0,17.0,1356.43,0.45,25.25,18.67,811290.0,48529.68,3813.0,3431.0,5078.94,5994.44
Rajasthan,Rajasthan_District_7,2023-24,Region_3,high,18.16,4825.3,288,1815.0,1775.0,1702.0,15.0,1118.05,0.05,25.25,18.37,969904.0,59055.27,2834.0,2692.0,3707.91,5355.37
Rajasthan,Rajasthan_District_8,2014-15,Region_4,high,17.03,2779.58,162,1703.0,1651.0,1477.0,15.0,797.58,0.18,25.07,14.82,871229.0,52173.83,1510.0,755.0,1008.48,2977.28
Rajasthan,Rajasthan_District_8,2015-16,Region_4,high,17.36,3054.54,176,1736.0,1570.0,1521.0,16.0,669.03,0.96,25.07,14.52,792549.0,47804.52,558.0,306.0,428.11,3288.84
Rajasthan,Rajasthan_District_8,2016-17,Region_4,high,16.08,2802.32,190,1608.0,1575.0,1441.0,16.0,946.22,0.19,25.07,14.22,535060.0,32424.59,1444.0,866.0,1272.51,3028.67
Rajasthan,Rajasthan_District_8,2017-18,Region_4,high,18.02,3335.49,204,1802.0,1642.0,1516.0,14.0,778.69,0.56,25.07,13.92,890296.0,53317.95,2859.0,1858.0,2475.28,3702.78
Rajasthan,Rajasthan_District_8,2018-19,Region_4,high,16.68,3899.79,218,1668.0,1622.0,1457.0,15.0,931.46,0.66,25.07,13.62,824345.0,49280.14,614.0,429.0,534.9,4513.61
Rajasthan,Rajasthan_District_8,2019-20,Region_4,high,16.98,3566.96,232,,1492.0,1313.0,18.0,925.71,0.24,25.07,13.32,511310.0,30192.78,4099.0,3074.0,3853.45,4094.56
Rajasthan,Rajasthan_District_8,2020-21,Region_4,high,25.06,6437.61,246,2505.0,2407.0,2305.0,24.0,951.93,0.09,25.07,13.02,836422.0,49593.1,1819.0,1455.0,2137.25,6772.05
Rajasthan,Rajasthan_District_8,2021-22,Region_4,high,17.58,4303.23,260,1757.0,1499.0,1309.0,18.0,925.04,0.38,25.07,12.72,712740.0,43436.09,4178.0,3551.0,4625.34,4685.85
Rajasthan,Rajasthan_District_8,2022-23,Region_4,high,19.66,5521.53,274,1966.0,1775.0,1636.0,19.0,688.67,0.49,25.07,12.42,649079.0,39643.34,3936.0,3542.0,4399.28,6516.9
Rajasthan,Rajasthan_District_8,2023-24,Region_4,high,18.17,5646.93,288,1817.0,1733.0,1568.0,14.0,1121.2,0.83,25.07,12.12,636148.0,38232.45,3350.0,,4064.58,6047.32
Rajasthan,Rajasthan_District_9,2014-15,Region_1,high,28.29,4633.26,162,2829.0,2644.0,2532.0,24.0,674.08,0.6,18.14,18.99,366834.0,21690.35,4550.0,2275.0,3326.43,5280.11
Rajasthan,Rajasthan_District_9,2015-16,Region_1,high,26.22,4767.2,176,2622.0,2288.0,2216.0,25.0,1110.37,0.08,18.14,18.69,501865.0,30134.69,711.0,391.0,488.71,5533.31
Rajasthan,Rajasthan_District_9,2016-17,Region_1,high,29.39,5460.74,190,2939.0,,2337.0,31.0,713.13,0.73,18.14,18.39,470654.0,28314.25,2642.0,1585.0,2217.58,6501.15
Rajasthan,Rajasthan_District_9,2017-18,Region_1,high,27.22,5235.85,204,2721.0,2323.0,2053.0,28.0,1116.2,0.11,18.14,18.09,381504.0,22886.91,,2070.0,2691.57,6103.1
Rajasthan,Rajasthan_District_9,2018-19,Region_1,high,27.72,6036.45,218,2771.0,2603.0,2359.0,24.0,1035.97,0.36,18.14,17.79,660052.0,40077.43,3626.0,2538.0,3252.81,6872.71
Rajasthan,Rajasthan_District_9,2019-20,Region_1,high,28.21,6010.56,232,2821.0,2734.0,2372.0,33.0,933.03,0.81,18.14,17.49,524676.0,31084.07,,2203.0,3220.53,6971.25
Rajasthan,Rajasthan_District_9,2020-21,Region_1,high,39.55,10407.66,246,3954.0,3489.0,3187.0,35.0,1257.25,0.18,18.14,17.19,721215.0,44041.53,677.0,541.0,763.71,12372.5
Rajasthan,Rajasthan_District_9,2021-22,Region_1,high,27.74,7311.42,260,2774.0,,2296.0,29.0,1212.44,0.86,18.14,16.89,470736.0,28723.63,4869.0,4138.0,6137.81,8197.07
Rajasthan,Rajasthan_District_9,2022-23,Region_1,high,29.7,8672.89,274,2969.0,2537.0,2353.0,26.0,906.91,0.07,18.14,16.59,,23982.7,3633.0,3269.0,4256.12,10049.4
Rajasthan,Rajasthan_District_9,2023-24,Region_1,high,30.19,8374.54,288,3019.0,2777.0,2645.0,28.0,1177.3,0.87,18.14,16.29,589946.0,35943.25,3271.0,3107.0,3945.54,8823.92
Rajasthan,Rajasthan_District_10,2014-15,Region_2,high,11.99,1934.83,162,1199.0,,1075.0,14.0,896.54,0.11,26.87,27.92,950183.0,56823.45,2396.0,1198.0,1702.69,2100.87
Rajasthan,Rajasthan_District_10,2015-16,Region_2,high,10.56,1804.11,176,1055.0,936.0,831.0,9.0,1281.87,0.68,26.87,27.62,559969.0,32950.2,4944.0,2719.0,3611.73,1998.32
Rajasthan,Rajasthan_District_10,2016-17,Region_2,high,11.32,2343.08,190,1132.0,1030.0,957.0,9.0,1196.86,0.51,26.87,27.32,1069956.0,63508.32,4742.0,2845.0,3968.47,2673.83
Rajasthan,Rajasthan_District_10,2017-18,Region_2,high,11.54,2226.56,204,1153.0,1006.0,883.0,10.0,957.2,0.93,26.87,27.02,956261.0,57031.69,760.0,494.0,736.42,2633.06
Rajasthan,Rajasthan_District_10,2018-19,Region_2,high,11.16,2528.16,218,1115.0,970.0,927.0,9.0,1284.1,0.88,26.87,26.72,657619.0,39515.5,3168.0,2217.0,3046.22,2689.26
Rajasthan,Rajasthan_District_10,2019-20,Region_2,high,13.15,2908.53,232,1315.0,1139.0,1099.0,15.0,885.85,0.41,26.87,26.42,1000615.0,60780.2,3448.0,2586.0,3530.56,3091.9
Rajasthan,Rajasthan_District_10,2020-21,Region_2,high,19.41,4987.73,246,1940.0,1774.0,1526.0,17.0,724.14,0.59,26.87,26.12,904500.0,53349.86,4330.0,3464.0,4671.36,5596.68
Rajasthan,Rajasthan_District_10,2021-22,Region_2,high,13.62,3770.09,260,1361.0,1218.0,1142.0,13.0,853.81,0.87,26.87,25.82,680838.0,41468.97,4088.0,,4855.04,4439.61
Rajasthan,Rajasthan_District_10,2022-23,Region_2,high,12.59,3585.42,274,,1180.0,1097.0,13.0,1164.1,0.13,26.87,25.52,622577.0,37923.71,4423.0,3980.0,4810.92,4208.82
Rajasthan,Rajasthan_District_10,2023-24,Region_2,high,12.8,3564.29,288,1279.0,1210.0,1053.0,14.0,1101.45,0.98,26.87,25.22,984498.0,59087.52,528.0,501.0,644.34,4072.34
Rajasthan,Rajasthan_District_11,2014-15,Region_3,high,19.65,2932.33,162,1964.0,1863.0,1714.0,23.0,1299.03,0.69,11.5,30.55,308498.0,18608.07,4694.0,2347.0,2888.58,3491.19
Rajasthan,Rajasthan_District_11,2015-16,Region_3,high,21.08,3389.51,176,2108.0,1874.0,1765.0,17.0,1042.73,0.97,11.5,30.25,,21690.04,3294.0,1811.0,2198.05,4002.09
Rajasthan,Rajasthan_District_11,2016-17,Region_3,high,21.48,3693.46,190,2148.0,1831.0,1633.0,21.0,1073.42,0.43,11.5,29.95,407019.0,24600.19,2506.0,1503.0,1926.98,4430.56
Rajasthan,Rajasthan_District_11,2017-18,Region_3,high,24.07,4862.7,204,2407.0,2097.0,1999.0,25.0,894.84,0.95,11.5,29.65,280657.0,16558.12,3562.0,2315.0,3232.56,5305.15
Rajasthan,Rajasthan_District_11,2018-19,Region_3,high,22.28,5288.63,218,,,1880.0,,955.52,0.21,11.5,29.35,292944.0,17916.91,2342.0,1639.0,2406.43,5735.49
Rajasthan,Rajasthan_District_11,2019-20,Region_3,high,24.95,5245.78,232,2495.0,2332.0,2093.0,28.0,770.61,0.77,11.5,29.05,338693.0,20702.16,1334.0,1000.0,1460.59,6119.14
Rajasthan,Rajasthan_District_11,2020-21,Region_3,high,33.47,8441.15,246,3346.0,2901.0,2478.0,39.0,1091.99,0.69,11.5,28.75,,22564.71,2666.0,2132.0,2633.43,9021.72
Rajasthan,Rajasthan_District_11,2021-22,Region_3,high,23.48,6019.9,260,2348.0,2057.0,1879.0,19.0,1121.5,0.01,11.5,28.45,363698.0,21620.24,4089.0,3475.0,4493.55,6731.95
Rajasthan,Rajasthan_District_11,2022-23,Region_3,high,23.88,6516.63,274,,2215.0,1966.0,25.0,965.39,0.24,11.5,28.15,427645.0,25945.92,678.0,610.0,819.93,6945.03
Rajasthan,Rajasthan_District_11,2023-24,Region_3,high,26.7,8439.55,288,2670.0,2318.0,2120.0,27.0,862.37,0.09,11.5,27.85,391399.0,23539.97,543.0,515.0,668.44,9516.92
Rajasthan,Rajasthan_District_12,2014-15,Region_4,high,17.35,2849.46,162,1735.0,1630.0,1555.0,15.0,799.68,0.94,5.83,16.66,136130.0,8038.61,3363.0,,2373.48,3005.44
Rajasthan,Rajasthan_District_12,2015-16,Region_4,high,16.08,2577.02,176,1608.0,1479.0,1393.0,18.0,943.78,0.89,5.83,16.36,199865.0,12136.63,2027.0,1114.0,1609.11,2736.84
Rajasthan,Rajasthan_District_12,2016-17,Region_4,high,15.57,2930.04,190,1556.0,1452.0,1333.0,17.0,1263.48,0.22,5.83,16.06,126119.0,7434.06,1611.0,966.0,1205.44,3459.69
Rajasthan,Rajasthan_District_12,2017-18,Region_4,high,16.69,3729.84,204,,1491.0,1302.0,18.0,1039.52,1.0,5.83,15.76,193407.0,11603.58,2999.0,1949.0,2759.32,4044.15
Rajasthan,Rajasthan_District_12,2018-19,Region_4,high,17.0,3483.25,218,1699.0,1594.0,1369.0,13.0,1007.6,0.43,5.83,15.46,146647.0,8785.67,4407.0,3084.0,4373.58,4045.47
Rajasthan,Rajasthan_District_12,2019-20,Region_4,high,17.3,3890.94,232,1730.0,,1519.0,14.0,1024.01,0.87,5.83,15.16,217698.0,13102.99,2473.0,1854.0,2628.19,4369.53
Rajasthan,Rajasthan_District_12,2020-21,Region_4,high,25.53,6000.73,246,2553.0,2366.0,2291.0,22.0,965.47,0.91,5.83,14.86,189240.0,11414.15,3799.0,3039.0,3766.75,6945.09
Rajasthan,Rajasthan_District_12,2021-22,Region_4,high,17.91,4358.98,260,1791.0,1577.0,1539.0,,1176.73,0.51,5.83,14.56,216224.0,12969.43,,1370.0,2001.88,4868.09
Rajasthan,Rajasthan_District_12,2022-23,Region_4,high,17.31,4422.66,274,1730.0,,,15.0,1229.75,0.45,5.83,14.26,193178.0,11509.63,,3582.0,4439.04,5287.17
Rajasthan,Rajasthan_District_12,2023-24,Region_4,high,20.37,5557.35,288,2037.0,1750.0,1526.0,20.0,652.06,0.71,5.83,13.96,155896.0,9476.81,2438.0,2316.0,2952.01,6349.67
Rajasthan,Rajasthan_District_13,2014-15,Region_1,high,12.9,2079.8,162,1290.0,1238.0,1181.0,13.0,1169.42,0.53,9.19,15.62,,20361.92,1003.0,501.0,641.74,2201.6
Rajasthan,Rajasthan_District_13,2015-16,Region_1,high,12.5,2391.43,176,1249.0,1068.0,924.0,12.0,1244.5,0.99,9.19,15.32,355464.0,21171.0,2782.0,1530.0,1855.08,2564.21
Rajasthan,Rajasthan_District_13,2016-17,Region_1,high,13.4,2734.21,190,1340.0,1218.0,1116.0,13.0,1027.87,0.2,9.19,15.02,,18118.13,634.0,380.0,491.1,3159.94
Rajasthan,Rajasthan_District_13,2017-18,Region_1,high,13.65,2882.05,204,1365.0,1332.0,,14.0,1090.51,0.94,9.19,14.72,265375.0,16156.97,1297.0,843.0,1186.77,3388.48
Rajasthan,Rajasthan_District_13,2018-19,Region_1,high,13.9,3102.43,218,1390.0,1338.0,1236.0,11.0,993.82,0.39,9.19,14.42,354926.0,21457.0,3544.0,2480.0,3136.46,3564.17
Rajasthan,Rajasthan_District_13,2019-20,Region_1,high,13.45,3213.63,232,1344.0,1161.0,1086.0,16.0,1400.68,0.57,9.19,14.12,192671.0,11780.91,2331.0,1748.0,2554.22,3751.46
Rajasthan,Rajasthan_District_13,2020-21,Region_1,high,20.88,5038.62,246,2088.0,1863.0,1745.0,23.0,1112.88,0.54,9.19,13.82,323924.0,19666.97,2460.0,1968.0,2844.45,5381.4
Rajasthan,Rajasthan_District_13,2021-22,Region_1,high,14.65,3432.57,260,1465.0,1307.0,,14.0,1071.11,0.23,9.19,13.52,311643.0,18615.23,,2141.0,2721.77,3796.39
Rajasthan,Rajasthan_District_13,2022-23,Region_1,high,14.9,4219.58,274,1489.0,1385.0,1260.0,14.0,1033.94,0.38,9.19,13.22,342498.0,20565.57,2656.0,2390.0,2886.39,4646.55
Rajasthan,Rajasthan_District_13,2023-24,Region_1,high,16.66,4701.38,288,1666.0,1541.0,1416.0,17.0,859.98,0.2,9.19,12.92,324402.0,19707.8,3731.0,3544.0,5268.71,4949.31
Rajasthan,Rajasthan_District_14,2014-15,Region_2,high,10.87,1606.21,162,1087.0,1055.0,944.0,9.0,1020.84,0.54,21.19,37.15,629619.0,37409.61,1781.0,890.0,1150.05,1880.0
